Autor,Apariciones
"\""{O}berg, Lena-Maria",1
"A, Iyswariya",1
"A, Thiruneelakandan.",1
"A, Umamageswari.",1
"Aamir, Shayan",1
"Abdel-Rahem, Rami A.",1
"Abhishek, S T",1
"Abinandhana, C.",1
"Abston, Kristie",1
"Abu-Hijleh, Bassam",1
"AbuAlfateh, Maryam",1
"Aburub, Faisal",1
"Acosta, Kristine",1
"Adaikkammai, A.",1
"Adefisayo, Adenike Omolara",1
"Adithiyaa, A S",1
"Agarwal, Ram",1
"Agarwal, Sheetal",1
"Agliata, Antonio",1
"Agrawal, Pratik",1
"Agwan, Mohammad",1
"Ahmad, Esraa",1
"Ahmad, Kashif",1
"Ahmed, Ahmed M.",1
"Ahmed, Iftekhar",1
"Ahmed, Nesreen K.",1
"Ahmed, Vian",1
"Ajruli, Neshat",1
"Akbar, Fatema",1
"Aksoy, B.",1
"Akter, Shifat Shima",1
"Al-Emran, Mostafa",1
"Al-Fuqaha, Ala",1
"Al-Remawi, Mayyas",1
"AL-Sa’di, Ahmed",1
"Al-Tkhayneh, Khawlah M.",1
"Alam, Naved",1
"Alario-Hoyos, Carlos",1
"Alateyyat, Salem",1
"Alazzam, Malik Bader",1
"Aleisa, Nawwaf",1
"Aleti, Aldeida",1
"Alghazo, Mohannad",1
"Alhasan, Moayad",1
"Alhilal, Ahmad",1
"Ali, Hadeel M.",1
"Ali, Mazen",1
"Ali, Md Liakat",1
"Alipour, Mohammad Amin",1
"Alli, Adam A.",1
"Almadhoob, Ali Husain",1
"Alnoman, Ali",1
"Alouini, Mohamed-Slim",1
"Alrifai, Rad",1
"Alsewari, AbdulRahman A.",1
"Alshibli, Mohammad",1
"Altun, Halis",1
"Ames, Troy J.",1
"Amirian, Soheyla",1
"Amoozadeh, Matin",1
"Amorim, Jacqueline",1
"Anandavel, V.",1
"Andal, V",1
"Anil, J.",1
"Ankalaki, Shilpa",1
"Annapureddy, Ravinithesh",1
"Antony, Safal",1
Anurag,1
"Arabnia, Hamid R.",1
"Arastoopour Irgens, Golnaz",1
"Araya, Roberto",1
"Arik, Murat",1
"Arora, Payal",1
"Arumugam, Deepak",1
"Arun, Shreyas Setlur",1
Aryan,1
"Asadi, Fawad",1
"Ashley, Dylan R.",1
"Asra, Syeda",1
"Atagyan, David A.",1
"Atcheson, Alex",1
"Atmakuri, Aparna Rajesh",1
"Ayasrah, Firas Tayseer",1
"Ayemowa, Matthew O.",1
"Ayyash, Moussa",1
"B\""{o}hm, Karsten",1
"Babisha, A.",1
"Badawy, Wael",1
"Badrinarayanan, M.K.",1
"Bahroun, Zied",1
"Bai, Bing",1
"Baikova, Irina A.",1
"Bajpai, Garima",1
"Balakumar, A",1
"Baldassarre, Maria Teresa",1
"Baldeon-Calisto, Maria",1
"Ballal, Sanjana",1
"Bandala, Argel A.",1
"Bandara, R.B.M.T.",1
"Bandyopadhayay, Atri",1
"Banerjee, Joideep",1
"Bano, Taranum",1
"Banyasz, Peter",1
"Barde, Kalpesh",1
"Barker, Helen",1
"Barnabie, Nia",1
"Basha, Thippaluri Yahid",1
"Battle, Rick",1
"Beaton, Catherine",1
"Bedruz, Rhen Anjerome R.",1
"Behboudi, Atefeh",1
"Behravan, Majid",1
"Bellamkonda, Sivaiah",1
"Bengesi, Staphord",1
"Benhaddou, Driss",1
"Bennett, Kristin C",1
"Berger, Christian",1
"Bewersdorff, Arne",1
"Bezabith, Tajebe",1
"Bhardwaj, Anjul",1
"Bhatnagar, Vivek",1
"Bhatt, Pankaj",1
"Bhatt, Stuti",1
"Bhattacharya, Saurabh",1
"Bhaumik, Amiya",1
"Bhoyar, Ketaki",1
"Bhushan, Bharat",1
"Biggio, Federico",1
"Bilgram, Volker",1
"Billiris, Grace",1
"Bilmez, Yakuphan",1
"Bird, Jordan J.",1
"Biswas, Topojoy",1
"Blauth, Taís Fernanda",1
"Blough, Neil V.",1
"Bohao, Pei",1
"Booth, Robbie",1
"Borghesi, Francesca",1
"Bosser, Anne-Gwenn",1
"Bottiglieri, Salvatore",1
"Bremers, Alexandra",1
"Buchatskaya, Viktorija V.",1
"Buchatskiy, Pavel Yu.",1
"Budhani, Sandeep Kumar",1
"Bukar, Umar Ali",1
"Burger-Helmchen, Thierry",1
"Burri, Srinivasa Rao",1
"Buschek, Daniel",1
"Bykova, Elena V.",1
"Cabrera-Paniagua, Daniel",1
"Cabrero-Daniel, Beatriz",1
"Cai, Haipeng",1
"Cai, Wentong",1
"Cai, Yu",1
"Caivano, Danilo",1
"Calo, Ryan",1
"Calvo, Albert",1
"Camci, H.",1
"Cao, Hancheng",1
"Cao, Jian",1
"Cao, Qi",1
"Cao, Wei",1
"Cao, Yilu",1
"Capon, William",1
"Carayannis, Elias G.",1
"Carmody, Seán",1
"Carvalko, Joseph R.",1
"Cascarano, Pasquale",1
"Castillo, Karina Culebro",1
"Castillo-Segura, Pablo",1
"Celik, Abdulkadir",1
"Chaccour, Christina",1
"Chai, Xiaolong",1
"Chakraborty, Prasun",1
"Chakraborty, Tanmoy",1
"Challagundla, Yagnesh",1
"Chan, Anny",1
"Chan, Lester Chi Him",1
"Chan, Michael",1
"Chang, Can",1
"Chang, Kuei-Chung",1
"Chang, Maiga",1
"Charney, Max",1
"Chatzigeorgiou, Alexander",1
"Chau, Charlotte S. Y.",1
"Chaudhary, Jyoti",1
"Chaudhary, Pranav Kumar",1
"Chaudhary, Srishti",1
"Chauhan, Piyush",1
"Chavan, Pravin",1
"Chen, Biaoxin",1
"Chen, Chorng-Ming",1
"Chen, Chuanzhang",1
"Chen, Duan",1
"Chen, Eason",1
"Chen, Fang",1
"Chen, Guanliang",1
